model,K,spk,local_t,gi,method,block_seconds,fade_seconds,selection_rule,ASR,R3_escape,R5_escape,NAC,PESQ,STOI,SI_SDR
audioseal,5,chinese:SSB0145,0,16,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.5000,4.5752,0.9992,33.03
audioseal,5,chinese:SSB0145,0,16,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5695,0.9990,31.76
audioseal,5,chinese:SSB0145,0,16,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.6080,0.9996,36.15
audioseal,5,chinese:SSB0145,0,16,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5657,0.9994,33.60
audioseal,5,chinese:SSB0145,0,16,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.3710,0.9990,30.65
audioseal,5,chinese:SSB0145,0,16,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.3697,0.9990,30.58
audioseal,5,chinese:SSB0145,0,16,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.5000,4.5752,0.9992,33.03
audioseal,5,chinese:SSB0149,0,17,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5700,0.9995,33.83
audioseal,5,chinese:SSB0149,0,17,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5921,0.9997,34.90
audioseal,5,chinese:SSB0149,0,17,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5999,0.9997,37.21
audioseal,5,chinese:SSB0149,0,17,eep,2.0,0.02,blockwise_max_pair_mse,1,1,0,0.8750,4.5425,0.9992,30.57
audioseal,5,chinese:SSB0149,0,17,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5028,0.9994,33.40
audioseal,5,chinese:SSB0149,0,17,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.2607,0.9961,31.16
audioseal,5,chinese:SSB0149,0,17,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.2693,0.9961,31.20
audioseal,5,chinese:SSB0149,0,17,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5921,0.9997,34.90
audioseal,5,chinese:SSB0193,0,18,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5509,0.9994,31.19
audioseal,5,chinese:SSB0193,0,18,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5307,0.9992,29.74
audioseal,5,chinese:SSB0193,0,18,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5166,0.9990,27.85
audioseal,5,chinese:SSB0193,0,18,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5872,0.9996,33.05
audioseal,5,chinese:SSB0193,0,18,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.4384,0.9988,30.17
audioseal,5,chinese:SSB0193,0,18,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.0587,0.9944,26.95
audioseal,5,chinese:SSB0193,0,18,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.0441,0.9942,26.87
audioseal,5,chinese:SSB0193,0,18,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5264,0.9991,28.72
audioseal,5,chinese:SSB0197,0,19,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5370,0.9906,28.15
audioseal,5,chinese:SSB0197,0,19,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5614,0.9935,29.11
audioseal,5,chinese:SSB0197,0,19,rp,2.0,0.02,blockwise_max_pair_mse,1,0,0,0.9375,4.4894,0.9853,26.41
audioseal,5,chinese:SSB0197,0,19,eep,2.0,0.02,blockwise_max_pair_mse,1,0,0,0.9375,4.5042,0.9896,26.78
audioseal,5,chinese:SSB0197,0,19,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.9375,4.4898,0.9892,28.00
audioseal,5,chinese:SSB0197,0,19,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.3052,0.9872,25.75
audioseal,5,chinese:SSB0197,0,19,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.2877,0.9867,25.60
audioseal,5,chinese:SSB0197,0,19,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5614,0.9935,29.11
audioseal,5,chinese:SSB0200,0,20,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5708,0.9996,31.63
audioseal,5,chinese:SSB0200,0,20,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5410,0.9993,29.63
audioseal,5,chinese:SSB0200,0,20,rp,2.0,0.02,blockwise_max_pair_mse,0,0,0,1.0000,4.5990,0.9997,32.06
audioseal,5,chinese:SSB0200,0,20,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5410,0.9993,29.63
audioseal,5,chinese:SSB0200,0,20,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.4476,0.9994,33.65
audioseal,5,chinese:SSB0200,0,20,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.0070,0.9950,25.77
audioseal,5,chinese:SSB0200,0,20,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.0094,0.9950,25.76
audioseal,5,chinese:SSB0200,0,20,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5412,0.9993,28.27
audioseal,5,chinese:SSB0241,0,21,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.6014,0.9994,36.40
audioseal,5,chinese:SSB0241,0,21,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5841,0.9989,35.42
audioseal,5,chinese:SSB0241,0,21,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5898,0.9990,32.91
audioseal,5,chinese:SSB0241,0,21,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.6085,0.9996,36.40
audioseal,5,chinese:SSB0241,0,21,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.9375,4.5905,0.9993,35.09
audioseal,5,chinese:SSB0241,0,21,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.5625,4.2906,0.9993,32.57
audioseal,5,chinese:SSB0241,0,21,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5474,0.9993,32.81
audioseal,5,chinese:SSB0241,0,21,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5944,0.9994,35.63
audioseal,5,chinese:SSB0246,0,22,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5770,0.9990,33.69
audioseal,5,chinese:SSB0246,0,22,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5345,0.9985,30.89
audioseal,5,chinese:SSB0246,0,22,rp,2.0,0.02,blockwise_max_pair_mse,1,1,0,0.8750,4.5370,0.9984,30.69
audioseal,5,chinese:SSB0246,0,22,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5345,0.9985,30.89
audioseal,5,chinese:SSB0246,0,22,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.9375,4.4716,0.9991,33.36
audioseal,5,chinese:SSB0246,0,22,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.1785,0.9973,30.49
audioseal,5,chinese:SSB0246,0,22,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.1732,0.9973,30.60
audioseal,5,chinese:SSB0246,0,22,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5455,0.9986,31.64
audioseal,5,chinese:SSB0261,0,23,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5615,0.9995,31.26
audioseal,5,chinese:SSB0261,0,23,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.6101,0.9997,33.43
audioseal,5,chinese:SSB0261,0,23,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5321,0.9993,30.03
audioseal,5,chinese:SSB0261,0,23,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5396,0.9993,29.22
audioseal,5,chinese:SSB0261,0,23,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.4780,0.9993,30.62
audioseal,5,chinese:SSB0261,0,23,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.2888,0.9993,29.14
audioseal,5,chinese:SSB0261,0,23,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.2991,0.9992,29.30
