model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,2,chinese:SSB0241,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_01.wav,2,4,63,mean,1,1,1,10,0.6250,0.312500,4.4537,0.9920,18.20
wmcodec,2,chinese:SSB0241,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_02.wav,2,3,64,mean,1,1,1,12,0.7500,0.562500,4.4926,0.9931,17.71
wmcodec,2,chinese:SSB0241,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_03.wav,2,4,65,mean,1,1,1,10,0.6250,0.500000,4.4001,0.9934,18.55
wmcodec,2,chinese:SSB0246,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_01.wav,2,9,66,mean,1,1,1,10,0.6250,0.375000,4.4426,0.9924,19.44
wmcodec,2,chinese:SSB0246,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_02.wav,2,7,67,mean,1,0,0,12,0.7500,0.375000,4.4808,0.9931,19.25
wmcodec,2,chinese:SSB0246,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_03.wav,2,2,68,mean,1,1,1,10,0.6250,0.437500,4.3308,0.9886,16.49
wmcodec,2,chinese:SSB0261,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_01.wav,2,4,69,mean,1,1,1,10,0.6250,0.187500,4.4072,0.9864,15.92
wmcodec,2,chinese:SSB0261,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_02.wav,2,4,70,mean,1,1,1,11,0.6875,0.562500,4.4233,0.9904,16.80
wmcodec,2,chinese:SSB0261,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_03.wav,2,3,71,mean,1,1,1,12,0.7500,0.625000,4.4033,0.9860,13.99
wmcodec,2,chinese:SSB0267,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_01.wav,2,2,72,mean,1,1,1,10,0.6250,0.375000,4.2247,0.9882,18.66
wmcodec,2,chinese:SSB0267,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_02.wav,2,4,73,mean,1,1,1,8,0.5000,0.500000,4.3293,0.9887,16.51
wmcodec,2,chinese:SSB0267,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_03.wav,2,4,74,mean,1,1,1,10,0.6250,0.437500,4.3325,0.9853,16.87
wmcodec,2,chinese:SSB0273,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_01.wav,2,8,75,mean,1,1,1,12,0.7500,0.562500,4.4011,0.9923,18.81
wmcodec,2,chinese:SSB0273,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_02.wav,2,3,76,mean,1,1,1,9,0.5625,0.437500,4.4275,0.9935,19.97
