model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,3,chinese:SSB0309,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_03.wav,3,3,92,mean,1,1,1,14,0.8750,0.333333,4.5973,0.9997,38.52
audioseal,3,chinese:SSB0315,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_01.wav,3,3,93,mean,1,0,0,15,0.9375,0.555556,4.6196,0.9998,37.01
audioseal,3,chinese:SSB0315,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_02.wav,3,3,94,mean,1,1,1,12,0.7500,0.222222,4.6073,0.9999,36.84
audioseal,3,chinese:SSB0315,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_03.wav,3,3,95,mean,1,1,1,13,0.8125,0.277778,4.5910,0.9999,35.70
audioseal,3,chinese:SSB0316,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_01.wav,3,3,96,mean,1,1,1,13,0.8125,0.277778,4.6169,0.9995,37.04
audioseal,3,chinese:SSB0316,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_02.wav,3,3,97,mean,1,1,1,14,0.8750,0.277778,4.6041,0.9995,34.31
audioseal,3,chinese:SSB0316,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_03.wav,3,3,98,mean,1,1,1,15,0.9375,0.388889,4.6000,0.9995,36.49
audioseal,3,chinese:SSB0323,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_01.wav,3,3,99,mean,1,1,1,13,0.8125,0.277778,4.5561,0.9995,33.28
audioseal,3,chinese:SSB0323,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_02.wav,3,3,100,mean,1,1,1,14,0.8750,0.388889,4.5911,0.9997,36.72
audioseal,3,chinese:SSB0323,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_03.wav,3,3,101,mean,1,1,1,12,0.7500,0.222222,4.6033,0.9996,36.52
