model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,28,chinese:SSB0057,1,8,6572,0,-4.00000000,1.35400640
wavmark,28,chinese:SSB0057,1,8,19914,0,-6.00000000,1.59309566
wavmark,28,chinese:SSB0057,1,8,21754,0,-8.00000000,1.87728968
wavmark,28,chinese:SSB0057,1,8,24380,0,-4.00000000,1.73205081
wavmark,28,chinese:SSB0057,1,8,36779,0,-6.00000000,1.64636761
wavmark,28,chinese:SSB0057,1,8,41349,0,-5.00000000,1.79337212
wavmark,28,chinese:SSB0057,1,8,46472,0,-6.00000000,1.78263226
wavmark,28,chinese:SSB0057,1,8,49549,0,-7.00000000,1.67035823
wavmark,28,chinese:SSB0057,1,8,58293,0,-3.00000000,1.48513764
wavmark,29,chinese:SSB0057,2,8,4879,0,-5.00000000,1.50814781
wavmark,29,chinese:SSB0057,2,8,5245,0,-3.00000000,1.57228535
wavmark,29,chinese:SSB0057,2,8,13355,0,-6.00000000,1.93508791
wavmark,29,chinese:SSB0057,2,8,16815,0,-5.00000000,1.77206423
wavmark,29,chinese:SSB0057,2,8,16896,0,-8.00000000,1.76862526
wavmark,29,chinese:SSB0057,2,8,20320,0,-5.00000000,1.91834569
wavmark,29,chinese:SSB0057,2,8,23293,0,-2.00000000,1.53669964
wavmark,29,chinese:SSB0057,2,8,51159,0,-2.00000000,1.48064435
wavmark,29,chinese:SSB0057,2,8,53868,0,-2.00000000,1.44337567
wavmark,29,chinese:SSB0057,2,8,65319,0,-5.00000000,1.94145069
wavmark,30,chinese:SSB0073,0,8,687,0,-6.00000000,2.01445290
wavmark,30,chinese:SSB0073,0,8,2446,0,-8.00000000,2.20746039
wavmark,30,chinese:SSB0073,0,8,13385,0,-7.00000000,1.79038229
wavmark,30,chinese:SSB0073,0,8,14217,0,-4.00000000,1.61772101
wavmark,30,chinese:SSB0073,0,8,16674,0,-7.00000000,1.82229381
wavmark,30,chinese:SSB0073,0,8,25347,0,-6.00000000,1.62965835
