model,k,trial_id,speaker,clip_index,source_path,coalition_payloads,shift_ms,shifted_colluder_index,escaped,attribution_margin,pesq,stoi,si_sdr,snr
audioseal,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,"[24377, 34032, 53557, 61374, 29823]",-20,0,1,1.96491718,2.986872,0.978611,11.776671,10.321555
audioseal,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,"[24377, 34032, 53557, 61374, 29823]",-10,0,1,2.91052914,3.948885,0.983219,12.097915,11.130804
audioseal,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,"[24377, 34032, 53557, 61374, 29823]",0,-1,1,2.30562019,4.589964,0.999569,34.732056,34.731111
audioseal,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,"[24377, 34032, 53557, 61374, 29823]",10,0,1,2.43939781,4.378539,0.98318,12.09979,11.131782
audioseal,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,"[24377, 34032, 53557, 61374, 29823]",20,0,1,2.27855062,4.018276,0.979968,11.781955,10.323784
audioseal,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,"[24377, 34032, 53557, 61374, 29823]",50,0,1,1.63872433,2.702,0.974072,11.925674,10.780686
audioseal,5,16,chinese:SSB0018,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,"[7823, 19908, 13250, 18187, 57460]",-50,1,1,2.63074064,1.93409,0.973838,12.002486,10.916931
audioseal,5,16,chinese:SSB0018,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,"[7823, 19908, 13250, 18187, 57460]",-20,1,1,3.1280899,2.950803,0.980823,12.011864,10.933736
audioseal,5,16,chinese:SSB0018,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,"[7823, 19908, 13250, 18187, 57460]",-10,1,1,3.32125378,3.985552,0.984541,12.191764,11.27494
audioseal,5,16,chinese:SSB0018,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,"[7823, 19908, 13250, 18187, 57460]",0,-1,1,3.41091681,4.571226,0.999411,33.458579,33.460211
