model,k,trial_id,speaker,clip_index,source_path,coalition_payloads,reference_payload,published_pesq,published_stoi,published_si_sdr,recomputed_si_sdr,snr,si_sdr_abs_error,visqol,si_sdr_for_table
timbrewm,8,151,english:103,2,dataset/collusion_300/english/103/english_103_02.wav,"[75, 166, 336, 339, 371, 411, 668, 829]",75,4.546390533447266,0.9967625225572898,,26.236626,26.248256,,4.75611914,26.236626
timbrewm,8,152,english:103,3,dataset/collusion_300/english/103/english_103_03.wav,"[59, 76, 214, 458, 651, 779, 856, 961]",59,4.49992561340332,0.9961229878091874,,26.316876,26.326318,,4.73786432,26.316876
timbrewm,8,153,english:1034,1,dataset/collusion_300/english/1034/english_1034_01.wav,"[124, 145, 188, 201, 230, 375, 753, 1002]",124,4.592040538787842,0.9872787026409592,,35.70204,35.77792,,4.75742273,35.70204
timbrewm,8,154,english:1034,2,dataset/collusion_300/english/1034/english_1034_02.wav,"[90, 143, 339, 524, 587, 812, 821, 874]",90,4.573226451873779,0.9955324224604644,,34.664165,34.72356,,4.56563819,34.664165
timbrewm,8,155,english:1034,3,dataset/collusion_300/english/1034/english_1034_03.wav,"[161, 313, 314, 337, 378, 459, 680, 777]",161,4.500813007354736,0.9971635984571776,,32.390784,32.476849,,4.55401258,32.390784
timbrewm,8,156,english:1040,1,dataset/collusion_300/english/1040/english_1040_01.wav,"[9, 174, 326, 399, 580, 690, 839, 927]",9,4.569931507110596,0.9976681278861406,,31.875775,31.8786,,4.55555327,31.875775
timbrewm,8,157,english:1040,2,dataset/collusion_300/english/1040/english_1040_02.wav,"[124, 257, 300, 511, 685, 819, 877, 983]",124,4.534121990203857,0.998397843771688,,31.357718,31.360562,,4.38286156,31.357718
timbrewm,8,158,english:1040,3,dataset/collusion_300/english/1040/english_1040_03.wav,"[165, 194, 256, 672, 716, 785, 829, 874]",165,4.495266914367676,0.9985657228095992,,30.695421,30.699126,,4.74199603,30.695421
timbrewm,8,159,english:1069,1,dataset/collusion_300/english/1069/english_1069_01.wav,"[273, 367, 648, 722, 768, 803, 841, 993]",273,4.570398330688477,0.9992503755727106,,34.434739,34.435559,,4.8570575,34.434739
timbrewm,8,160,english:1069,2,dataset/collusion_300/english/1069/english_1069_02.wav,"[147, 229, 265, 352, 377, 667, 737, 986]",147,4.584936618804932,0.9985134126316086,,35.125195,35.125908,,4.80587325,35.125195
timbrewm,8,161,english:1069,3,dataset/collusion_300/english/1069/english_1069_03.wav,"[163, 541, 609, 738, 784, 805, 949, 991]",163,4.48455286026001,0.9985785353207196,,32.428718,32.430893,,4.68619563,32.428718
timbrewm,8,162,english:1081,1,dataset/collusion_300/english/1081/english_1081_01.wav,"[20, 90, 173, 268, 757, 856, 902, 910]",20,4.581396579742432,0.9993472712241565,,36.20237,36.203349,,4.76930571,36.20237
timbrewm,8,163,english:1081,2,dataset/collusion_300/english/1081/english_1081_02.wav,"[0, 233, 284, 286, 525, 634, 774, 1002]",0,4.566068172454834,0.9969051814505632,,33.663725,33.665267,,4.72989499,33.663725
timbrewm,8,164,english:1081,3,dataset/collusion_300/english/1081/english_1081_03.wav,"[122, 197, 411, 423, 472, 520, 601, 893]",122,4.5604400634765625,0.9987696439471472,,34.719818,34.720769,,4.69262033,34.719818
timbrewm,8,165,english:1088,1,dataset/collusion_300/english/1088/english_1088_01.wav,"[113, 168, 384, 386, 587, 639, 747, 815]",113,4.576296806335449,0.9975431083525894,,35.556908,35.557732,,4.61463315,35.556908
timbrewm,8,166,english:1088,2,dataset/collusion_300/english/1088/english_1088_02.wav,"[490, 519, 578, 579, 823, 842, 940, 1020]",490,4.567433834075928,0.9963516664576236,,31.574002,31.576114,,4.31540916,31.574002
timbrewm,8,167,english:1088,3,dataset/collusion_300/english/1088/english_1088_03.wav,"[14, 155, 183, 398, 719, 929, 947, 959]",14,4.531823635101318,0.9970388259963612,,31.901041,31.902847,,4.42310383,31.901041
timbrewm,8,168,english:1098,1,dataset/collusion_300/english/1098/english_1098_01.wav,"[91, 164, 210, 572, 663, 833, 843, 856]",91,4.553175926208496,0.9982081398542436,,34.419543,34.420619,,4.65281606,34.419543
timbrewm,8,169,english:1098,2,dataset/collusion_300/english/1098/english_1098_02.wav,"[250, 291, 293, 424, 440, 593, 655, 837]",250,4.439963340759277,0.9988253936934308,,31.934882,31.937316,,4.58402399,31.934882
timbrewm,8,170,english:1098,3,dataset/collusion_300/english/1098/english_1098_03.wav,"[210, 318, 353, 460, 508, 681, 864, 908]",210,4.495198249816895,0.9987008191793658,,34.105269,34.106921,,4.73775843,34.105269
timbrewm,8,171,english:1116,1,dataset/collusion_300/english/1116/english_1116_01.wav,"[257, 337, 539, 680, 698, 760, 904, 956]",257,4.413349628448486,0.998570910935158,,24.47955,24.494497,,4.70364849,24.47955
timbrewm,8,172,english:1116,2,dataset/collusion_300/english/1116/english_1116_02.wav,"[63, 185, 292, 411, 671, 755, 968, 973]",63,4.516699314117432,0.9987352680374512,,27.369746,27.376993,,4.77878728,27.369746
timbrewm,8,173,english:1116,3,dataset/collusion_300/english/1116/english_1116_03.wav,"[61, 205, 273, 297, 347, 360, 760, 851]",61,4.553168773651123,0.99836437194813,,26.586522,26.593443,,4.82379115,26.586522
timbrewm,8,174,english:118,1,dataset/collusion_300/english/118/english_118_01.wav,"[8, 12, 312, 316, 503, 673, 817, 847]",8,4.561262607574463,0.993151530121547,,31.171648,31.17448,,4.74667594,31.171648
timbrewm,8,175,english:118,2,dataset/collusion_300/english/118/english_118_02.wav,"[53, 142, 337, 343, 362, 371, 401, 610]",53,4.563785552978516,0.9966964038796828,,31.168894,31.171945,,4.49278011,31.168894
timbrewm,8,176,english:118,3,dataset/collusion_300/english/118/english_118_03.wav,"[22, 59, 114, 369, 539, 581, 725, 789]",22,4.571193218231201,0.998988882423112,,35.995744,35.996641,,4.47194911,35.995744
timbrewm,8,177,english:1183,1,dataset/collusion_300/english/1183/english_1183_01.wav,"[174, 203, 250, 261, 466, 503, 706, 1018]",174,4.555867671966553,0.9978410749335738,,26.774637,26.782752,,4.31131439,26.774637
timbrewm,8,178,english:1183,2,dataset/collusion_300/english/1183/english_1183_02.wav,"[61, 79, 107, 187, 247, 378, 612, 868]",61,4.5691819190979,0.9990550655636112,,27.888333,27.895314,,4.35730355,27.888333
timbrewm,8,179,english:1183,3,dataset/collusion_300/english/1183/english_1183_03.wav,"[202, 380, 421, 468, 513, 681, 701, 991]",202,4.471155643463135,0.9982036903857728,,25.209754,25.222512,,4.39661018,25.209754
timbrewm,8,180,english:1235,1,dataset/collusion_300/english/1235/english_1235_01.wav,"[91, 154, 226, 230, 410, 497, 604, 981]",91,4.537882328033447,0.9938149995166884,,27.101588,27.109561,,4.54681577,27.101588
timbrewm,8,181,english:1235,2,dataset/collusion_300/english/1235/english_1235_02.wav,"[174, 202, 225, 284, 536, 605, 732, 1018]",174,4.567976474761963,0.9920375688181408,,30.096557,30.099761,,4.78235774,30.096557
timbrewm,8,182,english:1235,3,dataset/collusion_300/english/1235/english_1235_03.wav,"[33, 108, 751, 772, 785, 830, 885, 1012]",33,4.5479841232299805,0.9907389379398162,,27.02409,27.029299,,4.13396787,27.02409
timbrewm,8,183,english:1246,1,dataset/collusion_300/english/1246/english_1246_01.wav,"[45, 138, 155, 186, 716, 813, 946, 970]",45,4.546640396118164,0.9983471866507164,,27.282056,27.290019,,4.87975192,27.282056
timbrewm,8,184,english:1246,2,dataset/collusion_300/english/1246/english_1246_02.wav,"[4, 150, 348, 367, 369, 718, 721, 1016]",4,4.560582160949707,0.9988527851950738,,27.983836,27.990642,,4.6825141,27.983836
timbrewm,8,185,english:1246,3,dataset/collusion_300/english/1246/english_1246_03.wav,"[198, 228, 285, 348, 526, 642, 763, 765]",198,4.55866003036499,0.997305849556276,,28.612515,28.618271,,4.82151134,28.612515
