model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
timbrewm,5,15,chinese:SSB0139,0,fwp,-50,0,1,0.03155470,1.4155,0.7412
timbrewm,5,15,chinese:SSB0139,0,mean,50,0,1,0.23906994,2.8479,0.9722
timbrewm,5,15,chinese:SSB0139,0,fwp,50,0,1,0.01335430,1.4162,0.7291
timbrewm,5,16,chinese:SSB0145,0,mean,0,-1,1,0.07979202,4.4832,0.9975
timbrewm,5,16,chinese:SSB0145,0,fwp,0,-1,1,0.35282040,4.3877,0.9958
timbrewm,5,16,chinese:SSB0145,0,mean,-10,1,1,0.02174664,3.9559,0.9846
timbrewm,5,16,chinese:SSB0145,0,fwp,-10,1,1,0.06040525,2.1932,0.8795
timbrewm,5,16,chinese:SSB0145,0,mean,10,1,1,0.05118418,4.2725,0.9839
timbrewm,5,16,chinese:SSB0145,0,fwp,10,1,1,0.11293840,2.2694,0.8795
timbrewm,5,16,chinese:SSB0145,0,mean,-20,1,0,-0.09252357,3.1594,0.9811
timbrewm,5,16,chinese:SSB0145,0,fwp,-20,1,1,0.02298737,1.6530,0.8334
timbrewm,5,16,chinese:SSB0145,0,mean,20,1,0,-0.02265644,3.8903,0.9800
timbrewm,5,16,chinese:SSB0145,0,fwp,20,1,1,0.12443209,1.6560,0.8169
timbrewm,5,16,chinese:SSB0145,0,mean,-50,1,1,0.11494780,2.1902,0.9761
timbrewm,5,16,chinese:SSB0145,0,fwp,-50,1,1,0.04887247,1.3963,0.7708
timbrewm,5,16,chinese:SSB0145,0,mean,50,1,0,-0.05310535,2.9039,0.9766
timbrewm,5,16,chinese:SSB0145,0,fwp,50,1,1,0.24000072,1.3928,0.7446
timbrewm,5,17,chinese:SSB0149,0,mean,0,-1,0,-0.00314140,4.4666,0.9971
timbrewm,5,17,chinese:SSB0149,0,fwp,0,-1,1,0.20354557,4.2200,0.9949
timbrewm,5,17,chinese:SSB0149,0,mean,-10,2,1,0.06718063,4.2131,0.9828
