model,K,spk,local_t,gi,restart,start_id,objective,weights
wavmark,8,chinese:SSB0012,0,3,0,5,0.0000002812,0.20992411;0.09582641;0.12354718;0.00000000;0.00000000;0.14161407;0.26791787;0.16117036
wavmark,8,chinese:SSB0012,0,3,0,6,0.0000002839,0.15449653;0.08867396;0.17384545;0.05040712;0.06711941;0.06362612;0.18069225;0.22113916
wavmark,8,chinese:SSB0012,0,3,1,0,0.0000002839,0.16198248;0.08658147;0.18236085;0.06299894;0.06825756;0.05148552;0.18493482;0.20139836
wavmark,8,chinese:SSB0012,0,3,1,1,0.0000002803,0.00000007;0.06357431;0.27011730;0.07095782;0.14819458;0.00000001;0.17703907;0.27011685
wavmark,8,chinese:SSB0012,0,3,1,2,0.0000002817,0.06238954;0.00000003;0.25268864;0.00000000;0.17373264;0.06255285;0.25268833;0.19594796
wavmark,8,chinese:SSB0012,0,3,1,3,0.0000002839,0.15449653;0.08867396;0.17384545;0.05040712;0.06711941;0.06362612;0.18069225;0.22113916
wavmark,8,chinese:SSB0012,0,3,1,4,0.0000002830,0.08210452;0.05588374;0.25947847;0.08388855;0.11159756;0.00000002;0.16388413;0.24316302
wavmark,8,chinese:SSB0012,0,3,1,5,0.0000002839,0.14560094;0.09005839;0.22019381;0.06066421;0.07033392;0.04426912;0.17666327;0.19221635
wavmark,8,chinese:SSB0012,0,3,1,6,0.0000002808,0.18677873;0.07073275;0.18677896;0.09982456;0.03760916;0.01327991;0.21157948;0.19341646
wavmark,8,chinese:SSB0012,0,3,2,0,0.0000002839,0.16198248;0.08658147;0.18236085;0.06299894;0.06825756;0.05148552;0.18493482;0.20139836
wavmark,8,chinese:SSB0012,0,3,2,1,0.0000002803,0.00000007;0.06357431;0.27011730;0.07095782;0.14819458;0.00000001;0.17703907;0.27011685
wavmark,8,chinese:SSB0012,0,3,2,2,0.0000002823,0.19277889;0.07624821;0.15884221;0.07288895;0.00114879;0.10899805;0.18125882;0.20783607
wavmark,8,chinese:SSB0012,0,3,2,3,0.0000002835,0.06396855;0.03499861;0.27948126;0.02019539;0.13711690;0.02906494;0.21403789;0.22113646
wavmark,8,chinese:SSB0012,0,3,2,4,0.0000002812,0.20992411;0.09582641;0.12354718;0.00000000;0.00000000;0.14161407;0.26791787;0.16117036
wavmark,8,chinese:SSB0012,0,3,2,5,0.0000002819,0.20903378;0.07608126;0.13321756;0.00293655;0.00000001;0.12796061;0.24786564;0.20290459
wavmark,8,chinese:SSB0012,0,3,2,6,0.0000002831,0.13292727;0.11848326;0.20711743;0.06771117;0.10129086;0.00000003;0.17603369;0.19643628
wavmark,8,chinese:SSB0012,0,3,3,0,0.0000002839,0.16198248;0.08658147;0.18236085;0.06299894;0.06825756;0.05148552;0.18493482;0.20139836
wavmark,8,chinese:SSB0012,0,3,3,1,0.0000002803,0.00000007;0.06357431;0.27011730;0.07095782;0.14819458;0.00000001;0.17703907;0.27011685
wavmark,8,chinese:SSB0012,0,3,3,2,0.0000002765,0.24016532;0.11191825;0.08334361;0.00466410;0.00000000;0.21791332;0.24016555;0.10182985
wavmark,8,chinese:SSB0012,0,3,3,3,0.0000002839,0.14560094;0.09005839;0.22019381;0.06066421;0.07033392;0.04426912;0.17666327;0.19221635
wavmark,8,chinese:SSB0012,0,3,3,4,0.0000002819,0.20903378;0.07608126;0.13321756;0.00293655;0.00000001;0.12796061;0.24786564;0.20290459
wavmark,8,chinese:SSB0012,0,3,3,5,0.0000002832,0.11474585;0.10388770;0.25537848;0.05258081;0.10388794;0.00000002;0.17211953;0.19739967
wavmark,8,chinese:SSB0012,0,3,3,6,0.0000002823,0.19277889;0.07624821;0.15884221;0.07288895;0.00114879;0.10899805;0.18125882;0.20783607
wavmark,8,chinese:SSB0016,0,4,0,0,0.0000000398,0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000
wavmark,8,chinese:SSB0016,0,4,0,1,0.0000000309,0.00000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.50000000
wavmark,8,chinese:SSB0016,0,4,0,2,0.0000000178,0.50000000;0.00000000;0.00000000;0.00000000;0.00000000;0.50000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,0,3,0.0000000219,0.00000000;0.00000000;0.50000000;0.00000000;0.00000000;0.50000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,0,4,0.0000000229,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.50000000;0.50000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,0,5,0.0000000200,0.00000000;0.50000000;0.00000000;0.00000000;0.50000000;0.00000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,0,6,0.0000000211,0.00000000;0.00000000;0.50000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,1,0,0.0000000398,0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000
wavmark,8,chinese:SSB0016,0,4,1,1,0.0000000309,0.00000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.50000000
wavmark,8,chinese:SSB0016,0,4,1,2,0.0000000286,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.50000000;0.00000000;0.50000000
wavmark,8,chinese:SSB0016,0,4,1,3,0.0000000139,0.00000000;0.00000000;0.00000000;0.00000000;0.50000000;0.50000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,1,4,0.0000000219,0.00000000;0.00000000;0.50000000;0.00000000;0.00000000;0.50000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,1,5,0.0000000217,0.50000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,1,6,0.0000000309,0.00000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.50000000
