model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
audioseal,3,137,chinese:SSB0393,3,dataset/collusion_300/chinese/SSB0393/chinese_SSB0393_03.wav,3,3,uniform,1,12,0.7500,4.5888,0.9998,36.76
audioseal,3,138,chinese:SSB0394,1,dataset/collusion_300/chinese/SSB0394/chinese_SSB0394_01.wav,3,3,uniform,1,12,0.7500,4.6046,0.9969,35.59
audioseal,3,139,chinese:SSB0394,2,dataset/collusion_300/chinese/SSB0394/chinese_SSB0394_02.wav,3,3,uniform,1,15,0.9375,4.5409,0.9984,32.40
audioseal,3,140,chinese:SSB0394,3,dataset/collusion_300/chinese/SSB0394/chinese_SSB0394_03.wav,3,3,uniform,1,14,0.8750,4.5987,0.9970,37.42
audioseal,3,141,chinese:SSB0395,1,dataset/collusion_300/chinese/SSB0395/chinese_SSB0395_01.wav,3,3,uniform,1,13,0.8125,4.5917,0.9965,34.71
audioseal,3,142,chinese:SSB0395,2,dataset/collusion_300/chinese/SSB0395/chinese_SSB0395_02.wav,3,3,uniform,1,15,0.9375,4.5703,0.9984,34.61
audioseal,3,143,chinese:SSB0395,3,dataset/collusion_300/chinese/SSB0395/chinese_SSB0395_03.wav,3,3,uniform,1,13,0.8125,4.5753,0.9986,34.60
audioseal,3,144,chinese:SSB0407,1,dataset/collusion_300/chinese/SSB0407/chinese_SSB0407_01.wav,3,3,uniform,1,13,0.8125,4.5770,0.9989,37.23
audioseal,3,145,chinese:SSB0407,2,dataset/collusion_300/chinese/SSB0407/chinese_SSB0407_02.wav,3,3,uniform,1,14,0.8750,4.6039,0.9995,39.43
audioseal,3,146,chinese:SSB0407,3,dataset/collusion_300/chinese/SSB0407/chinese_SSB0407_03.wav,3,3,uniform,1,15,0.9375,4.6121,0.9995,41.08
audioseal,3,147,chinese:SSB0415,1,dataset/collusion_300/chinese/SSB0415/chinese_SSB0415_01.wav,3,3,uniform,1,12,0.7500,4.5950,0.9987,34.80
audioseal,3,148,chinese:SSB0415,2,dataset/collusion_300/chinese/SSB0415/chinese_SSB0415_02.wav,3,3,uniform,1,15,0.9375,4.5984,0.9986,36.67
audioseal,3,149,chinese:SSB0415,3,dataset/collusion_300/chinese/SSB0415/chinese_SSB0415_03.wav,3,3,uniform,1,14,0.8750,4.5983,0.9973,36.42
audioseal,3,150,english:103,1,dataset/collusion_300/english/103/english_103_01.wav,3,3,uniform,1,13,0.8125,4.5913,0.9969,32.59
audioseal,3,151,english:103,2,dataset/collusion_300/english/103/english_103_02.wav,3,3,uniform,1,13,0.8125,4.6077,0.9992,35.83
