model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,31,chinese:SSB0073,1,2,51072,0,-9.00000000,2.44948974
wavmark,31,chinese:SSB0073,1,2,38181,0,-8.00000000,2.59807621
wavmark,31,chinese:SSB0073,1,2,35614,0,-9.00000000,2.78388218
wavmark,32,chinese:SSB0073,2,2,6823,0,-5.00000000,1.96850197
wavmark,32,chinese:SSB0073,2,2,32436,0,-7.00000000,2.23606798
wavmark,32,chinese:SSB0073,2,2,52361,0,-12.00000000,2.80624304
wavmark,32,chinese:SSB0073,2,2,16712,0,-11.00000000,2.64575131
wavmark,32,chinese:SSB0073,2,2,35421,0,-7.00000000,2.42383993
wavmark,32,chinese:SSB0073,2,2,5190,0,-10.00000000,2.44948974
wavmark,32,chinese:SSB0073,2,2,54127,0,-8.00000000,2.44948974
wavmark,32,chinese:SSB0073,2,2,11733,0,-4.00000000,2.00000000
wavmark,32,chinese:SSB0073,2,2,49170,0,-11.00000000,2.42383993
wavmark,32,chinese:SSB0073,2,2,33965,0,-10.00000000,2.97909382
wavmark,33,chinese:SSB0080,0,2,62871,0,-9.00000000,2.62202212
wavmark,33,chinese:SSB0080,0,2,14540,0,-7.00000000,2.20794022
wavmark,33,chinese:SSB0080,0,2,48429,0,-6.00000000,2.42383993
wavmark,33,chinese:SSB0080,0,2,63206,0,-5.00000000,2.20794022
wavmark,33,chinese:SSB0080,0,2,61849,0,-9.00000000,2.44948974
wavmark,33,chinese:SSB0080,0,2,37243,0,-9.00000000,2.42383993
wavmark,33,chinese:SSB0080,0,2,31346,0,-7.00000000,2.20794022
wavmark,33,chinese:SSB0080,0,2,7756,0,-5.00000000,2.00000000
wavmark,33,chinese:SSB0080,0,2,20619,0,-10.00000000,2.23606798
wavmark,33,chinese:SSB0080,0,2,13070,0,-5.00000000,1.87082869
wavmark,34,chinese:SSB0080,1,2,6344,0,-10.00000000,2.44948974
wavmark,34,chinese:SSB0080,1,2,36835,0,-7.00000000,2.49443826
wavmark,34,chinese:SSB0080,1,2,55007,0,-7.00000000,2.28521820
wavmark,34,chinese:SSB0080,1,2,54173,0,-7.00000000,2.23606798
wavmark,34,chinese:SSB0080,1,2,45412,0,-8.00000000,2.49443826
wavmark,34,chinese:SSB0080,1,2,38926,0,-11.00000000,2.49443826
