model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
voicemark,5,284,english:211,3,dataset/collusion_300/english/211/english_211_03.wav,5,5,uniform,1,12,0.7500,4.1345,0.9838,12.24
voicemark,5,285,english:2136,1,dataset/collusion_300/english/2136/english_2136_01.wav,5,5,uniform,1,13,0.8125,4.3313,0.9818,18.44
voicemark,5,286,english:2136,2,dataset/collusion_300/english/2136/english_2136_02.wav,5,7,uniform,1,13,0.8125,4.3543,0.9844,19.28
voicemark,5,287,english:2136,3,dataset/collusion_300/english/2136/english_2136_03.wav,5,7,uniform,1,13,0.8125,4.2939,0.9822,18.76
voicemark,5,288,english:2159,1,dataset/collusion_300/english/2159/english_2159_01.wav,5,5,uniform,1,12,0.7500,2.1186,0.9767,12.27
voicemark,5,289,english:2159,2,dataset/collusion_300/english/2159/english_2159_02.wav,5,5,uniform,1,12,0.7500,4.3613,0.9836,15.53
voicemark,5,290,english:2159,3,dataset/collusion_300/english/2159/english_2159_03.wav,5,5,uniform,1,11,0.6875,4.1999,0.9843,14.87
voicemark,5,291,english:2182,1,dataset/collusion_300/english/2182/english_2182_01.wav,5,5,uniform,1,12,0.7500,4.3057,0.9817,15.05
voicemark,5,292,english:2182,2,dataset/collusion_300/english/2182/english_2182_02.wav,5,5,uniform,1,12,0.7500,4.3850,0.9772,16.94
voicemark,5,293,english:2182,3,dataset/collusion_300/english/2182/english_2182_03.wav,5,5,uniform,1,12,0.7500,4.2732,0.9878,16.40
voicemark,5,294,english:2196,1,dataset/collusion_300/english/2196/english_2196_01.wav,5,5,uniform,1,12,0.7500,4.2821,0.9819,13.86
voicemark,5,295,english:2196,2,dataset/collusion_300/english/2196/english_2196_02.wav,5,6,uniform,1,13,0.8125,4.3137,0.9812,13.64
voicemark,5,296,english:2196,3,dataset/collusion_300/english/2196/english_2196_03.wav,5,5,uniform,1,13,0.8125,4.2870,0.9803,13.74
voicemark,5,297,english:226,1,dataset/collusion_300/english/226/english_226_01.wav,5,5,uniform,1,11,0.6875,4.2048,0.9815,10.90
voicemark,5,298,english:226,2,dataset/collusion_300/english/226/english_226_02.wav,5,6,uniform,1,11,0.6875,4.2174,0.9819,11.17
voicemark,5,299,english:226,3,dataset/collusion_300/english/226/english_226_03.wav,5,6,uniform,1,12,0.7500,4.2540,0.9801,10.66
